MS DRG Code,MS DRG,MS DRG Description,CMS MS DRG Weight,Geometric Mean LOS,Arithmetic Mean LOS
001,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,28.9132,30.1,39.1
002,002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,14.9701,15.4,18.2
003,"003 - ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES","ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",19.1055,22.4,30.2
004,"004 - TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES","TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",11.9225,20.0,24.6
005,005 - LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.2350,14.4,19.4
006,006 - LIVER TRANSPLANT WITHOUT MCC,LIVER TRANSPLANT WITHOUT MCC,4.6964,7.5,8.1
007,007 - LUNG TRANSPLANT,LUNG TRANSPLANT,11.5800,17.4,20.8
008,008 - SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.4333,9.0,10.2
009,009 - BONE MARROW TRANSPLANT,BONE MARROW TRANSPLANT,6.5419,17.7,21.3
010,010 - PANCREAS TRANSPLANT,PANCREAS TRANSPLANT,3.6200,8.0,9.1
011,"011 - TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.0214,10.9,13.8
012,"012 - TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.8328,8.3,9.4
013,"013 - TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.7238,6.0,6.8
014,014 - ALLOGENEIC BONE MARROW TRANSPLANT,ALLOGENEIC BONE MARROW TRANSPLANT,10.6770,24.1,27.2
015,015 - AUTOLOGOUS BONE MARROW TRANSPLANT,AUTOLOGOUS BONE MARROW TRANSPLANT,5.9504,16.7,19.3
016,016 - AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.7363,17.1,18.3
017,017 - AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.8557,8.9,11.6
018,018 - CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,37.4501,15.6,17.6
