Charge Code,Charge Description
5119,"RELEASE ENCIRCL MATERIAL,POST SGMT"
5120,"REMV POST EYE IMPLNT MATER,EXTRAOCUL"
5121,"REMV POST EYE IMPLNT MATER,INTRAOCUL"
5122,"PROPHYLAXIS RETINA DETACH,CRYO/DIATH"
5123,"PROPHYLAXIS RETINA DETACH,PHOTOCOAG"
5124,"DESTRUC RETINAL LESN,CRYOTHERAPY"
5125,"DESTRUC RETINAL LESN,PHOTOCOAG"
5126,"DESTRUC RETINAL LESN,RADN IMPLNT"
5127,"DEST,CHOROID LESION,PHOTOCOAG"
5128,"DEST,CHOROID LESN,PHOTODYNAMIC THERAPY"
5129,"DEST,CHOROID LESN,PHOTODYN THER,2ND EYE"
5130,"DESTRUCTION RETINOPATHY, DIATHERMY"
5131,"TX EXTENSIVE RETINOPATHY, PHOTOCOAGULATION"
5132,REINFORCE SCLERA EYE
5133,REINFORCE SCLERA EYE W GRAFT
5134,EYE SURG POST SGMT PROC UNLISTED
5135,"STABISMUS SURG,ONE HORIZ MUSCLE"
5136,"STABISMUS SURG,TWO HORIZ MUSCLE"
5137,"STABISMUS SURG,ONE VERT MUSCLE"
5138,"STABISMUS SURG,2+ VERT MUSCLE"
5139,"STABISMUS SURG,SUPER-OBLIQ MUSC"
5140,TRANSPOSITION ANY EXTRAOCUL MUSC
5141,"STABISM SURG,PREV EYE SURG,NOT MUSC"
5142,"STABISMUS SURG,SCAR EXTRAOCUL MUSC"
5143,"STABISMUS SURG,POST FIXATN SUTURE"
5144,"STABISMUS SURG,PLACE ADJUST SUTURE"
5145,"STABISMUS SURG,REPAIR DETACH MUSC"
5146,RELEASE EXTEN SCAR TISSUE EYE
5147,DESTROY NERVE OF EYE MUSCLE
5149,EYE MUSCLE SURG PROC UNLISTED
5150,EXPLORE EYE SOCKET
5151,"EXPLORE EYE SOCKET,DRAINAGE"
5152,"EXPLORE EYE SOCKET,REMV LESN"
5153,"EXPLORE EYE SOCKET,REMV F.B."
5154,"EXPLORE EYE SOCKET,DECOMPRESS"
5155,NEEDLE ASPIR ORBITAL CONTENTS
5156,"LAT EXPLOR EYE SOCK,REMV LESN"
5157,"LAT EXPLOR EYE SOCK,REMV F.B."
5158,"LAT EXPLOR EYE SOCK,DRAINAGE"
5159,"LAT EXPLOR EYE SOCK,DECOMPRESS"
5160,LAT EXPLOR EYE SOCK
5161,"RETROBULBAR INJECT,MEDICATN"
5162,"RETROBULBAR INJECT,ALCOHOL"
5163,"INJ,THER AGENT INTO TENON'S CAPSULE"
5164,INSERT EYE SOCKET IMPLANT
5165,REVISE EYE SOCKET IMPLANT
5166,DECOMPRESS OPTIC NERVE
5167,ORBIT SURGERY PROC UNLISTED
5168,DRAINAGE OF EYELID ABSCESS
5169,INCISION OF EYELID
5170,INCISION OF EYELID FOLD
5171,"EXCIS CHALAZION,SINGLE"
5172,"EXCIS CHALAZION,MULT,SAME LID"
5173,"EXCIS CHALAZION,MULT,BOTH LIDS"
5174,"EXCIS CHALAZION,GEN ANESTHESIA"
5175,BIOPSY OF EYELID
5176,"REVISE EYELASHES,FORCEPS"
5177,REVISE EYELASHES
5178,"REVISE EYELASHES,INCIS LID MARGIN"
5179,"REVISE EYELASHES,INCIS LID+GRFT"
5180,REMOVE EYELID LESN (NOT CHALAZION)
5181,"DESTRUC EYELID LESN, <1 CM"
5182,TEMP CLOSURE EYELID BY SUTURE
5183,REVISION OF EYELID
5184,"REVISION EYELID,XPOSITN TARSAL PLATE"
5185,REPAIR BROW PTOSIS
5186,"FIX LID PTOSIS,FRONTALIS MUSC,SUT"
